ID,Created At,Text
537375469734473728,Tue Nov 25 22:41:10 +0000 2014,A new track from Rihanna? http://t.co/LeOVbpgAvu
537373179908718592,Tue Nov 25 22:32:04 +0000 2014,This essay by @KelleyLCarter just blew me away: Bill Cosby And The “Safe Black” http://t.co/8VFyETtGS6
537372182306095104,Tue Nov 25 22:28:06 +0000 2014,Ferguson Library Sees Huge Spike In Donations Overnight http://t.co/DlWbbV2e9Y
537369831994310660,Tue Nov 25 22:18:46 +0000 2014,I just gasped. RT @NYMag: 26-year-old Benny’s Burritos will close on Saturday: http://t.co/QVug4snw6J http://t.co/m8pCPCwHta
537368860413136897,Tue Nov 25 22:14:54 +0000 2014,@dominicholden Neanderthal.
537367902501216257,Tue Nov 25 22:11:06 +0000 2014,@iSmashFizzle ASHLEY SHUT UP
537367158897270784,Tue Nov 25 22:08:09 +0000 2014,"Just heard @dominicholden say, proudly, “I’ve finally figured out how to email a GIF.” He’s been at BuzzFeed for two weeks."
537365499030827009,Tue Nov 25 22:01:33 +0000 2014,WUT RT @aurabogado: The medical examiner didn't take photos of Mike Brown's body. Because they ran out of batteries. http://t.co/D3V92glodD
537361893904900096,Tue Nov 25 21:47:13 +0000 2014,Photo: Breathe. http://t.co/k3v6SvshGd
537356545097736193,Tue Nov 25 21:25:58 +0000 2014,“alternate names for black boys.  // (I thought to leave this blank / but who am I to name us nothing?)” http://t.co/8xZqrY1NRT
537355405933162496,Tue Nov 25 21:21:27 +0000 2014,"THAT’S RIGHT, MY QUEENS. POEMS ON BUZZFEED. 

Y’ALL SHOULD BE AFRAID OF WHAT WE BOUT TO DO NEXT."
537355312718970881,Tue Nov 25 21:21:04 +0000 2014,"""I demand a war to bring the dead boy back / no matter what his name is this time. // I at least demand a song.” http://t.co/8xZqrY1NRT"
537354773373407232,Tue Nov 25 21:18:56 +0000 2014,“Not An Elegy For Mike Brown”: Two Poems For #Ferguson by @Danez_Smif http://t.co/8xZqrY1NRT
537345940211105794,Tue Nov 25 20:43:50 +0000 2014,I just thought about Michael Brown’s family sitting down at the table for Thanksgiving this week… Mercy.
537344477523087360,Tue Nov 25 20:38:01 +0000 2014,@lucusfeez !
537335433525751808,Tue Nov 25 20:02:05 +0000 2014,RT @passantino: Stephanopoulos: Officer Wilson said he’s sorry for loss of Michael Brown’s life but would not do anything differently http:…
537331032530632705,Tue Nov 25 19:44:35 +0000 2014,"Q: What’s your sexual orientation?

A: Channing Tatum wearing sweatpants. http://t.co/0OtTh03x5t"
537330235751280640,Tue Nov 25 19:41:25 +0000 2014,@aurosan @SkarSkarSkar Whoops.
537329656035561472,Tue Nov 25 19:39:07 +0000 2014,Sexual Orientation: Meryl Streep’s IMDB page. http://t.co/0OtTh03x5t
537329530537775104,Tue Nov 25 19:38:37 +0000 2014,Sexual Orientation: A cashmere onesie. http://t.co/0OtTh03x5t
537329440481886209,Tue Nov 25 19:38:16 +0000 2014,Sexual Orientation: Oberyn Martell slowly eating grapes. http://t.co/0OtTh03x5t
537329162789613568,Tue Nov 25 19:37:10 +0000 2014,50 Sexual Orientations That Should Exist If They Don’t Already http://t.co/0OtTh03x5t
537328971520937984,Tue Nov 25 19:36:24 +0000 2014,"Okay, I think — we all need a laugh break. Ready? Here goes."
537328618108895232,Tue Nov 25 19:35:00 +0000 2014,Q: Where is the line between observation and surveillance? A: We are the line. http://t.co/vDQBF9CmGf
537325734470381569,Tue Nov 25 19:23:32 +0000 2014,Drag queens beat their faces more than Mike Brown beat Darren Wilson but— *signal drop*
537323449975570432,Tue Nov 25 19:14:28 +0000 2014,RT @chieaynne: Not my ex's RT @NikoMcknight: #ALLLIVESMATTER
537320233829400576,Tue Nov 25 19:01:41 +0000 2014,"In South Africa, a lesbian was raped, murdered and found with a brush in her vagina. Her killer got 30 years. http://t.co/dju9FJLbXN"
537319669724876800,Tue Nov 25 18:59:26 +0000 2014,AND THEN YOU HAD ENOUGH AND YOU TOOK THAT RING OFF
537319627354025984,Tue Nov 25 18:59:16 +0000 2014,@crissles Small blessings.
537319531468038144,Tue Nov 25 18:58:53 +0000 2014,@chanelinezp I had to stop.
537319418985201664,Tue Nov 25 18:58:27 +0000 2014,I just got a notification that a college friend from Kentucky commented on my FB page and I had to take a breath before I clicked.
537318730909614080,Tue Nov 25 18:55:43 +0000 2014,(Kanye’s verse on the “Drunk In Love” remix is horrifying. I’m clutching my pearls.)
537317041427193856,Tue Nov 25 18:49:00 +0000 2014,*slurps tea* RT @GStephanopoulos: Just finished a more than hourlong interview with Officer Darren Wilson. http://t.co/kdIytacx9G
537316226289401856,Tue Nov 25 18:45:45 +0000 2014,"(I was twerking, then @MattOrtile brought over new employees to introduce them and I was like “O haaaai. Welcome to BuzzFeed.”)"
537315563652284416,Tue Nov 25 18:43:07 +0000 2014,@annehelen Plot twist!
537315325566803968,Tue Nov 25 18:42:11 +0000 2014,@annehelen Or people of color.
537315200748498944,Tue Nov 25 18:41:41 +0000 2014,"@Lahlahlindsey SWAY WITH ME, GIRL."
537314545774374912,Tue Nov 25 18:39:05 +0000 2014,I’m literally twerking at my desk while eating matzo ball soup.
537314360495206401,Tue Nov 25 18:38:21 +0000 2014,@stephbr0wne Do what you gotta do.
537314209546399744,Tue Nov 25 18:37:45 +0000 2014,"COME THROUGH, BEYSUS. COME THE FUCK THROUGH.

*sways*"
537314150578675712,Tue Nov 25 18:37:30 +0000 2014,Beyonce put this album on Spotify because she knew the children would be in need of comfort this week.
537313824324714496,Tue Nov 25 18:36:13 +0000 2014,"WAIT
THIS STANDING ON THE SUN REMIX
YAAAAAAS BITCH
YAAAAAAAAAAS
TAKE ME TO THE MOUNTAINTOP BEYONCE
THANK YOU GIRL"
537313341786824705,Tue Nov 25 18:34:18 +0000 2014,"If Apple Watches come with a sage burning option, I’m all in."
537313013259591682,Tue Nov 25 18:32:59 +0000 2014,*places scented oils all around the office* RT @samir: @theferocity *Burns Saffron*
537312596928770048,Tue Nov 25 18:31:20 +0000 2014,*adjusts bra* Buzzfeed passes $100 M. in revenue for 2014 http://t.co/5cPC0yb3IH
537311441356066816,Tue Nov 25 18:26:45 +0000 2014,"*leads timeline in a rousing rendition of “Mississippi, Goddam”* 

*rips up Don Lemon’s brunch invitation*"
537310777632628737,Tue Nov 25 18:24:06 +0000 2014,"*hits blunt* RT @donlemon: For those asking, yes I met with Darren Wilson regarding an interview. Not out of the ordinary."
537309219293511680,Tue Nov 25 18:17:55 +0000 2014,"Ah, right. RT @anthonyha: @theferocity Oh they can exist, they just have to be played by white people!"
537308682472947713,Tue Nov 25 18:15:47 +0000 2014,“Pan” - another fantasy movie in which everything is possible — except the existence of people of color. http://t.co/lurm62Y4H6
537299655328276480,Tue Nov 25 17:39:55 +0000 2014,"RT @BuzzFeedNews: .@attorneycrump: We want to propose a ""Michael Brown Law,"" which would put body cameras on police officers http://t.co/UQ…"
537293450161717248,Tue Nov 25 17:15:15 +0000 2014,@heavenrants *hug*
537292048026836992,Tue Nov 25 17:09:41 +0000 2014,"On a post about Darren Wilson’s bruises, a reader said she’s had gotten bigger bruises from unsuccessfully putting on make-up. *faints*"
537288771117793280,Tue Nov 25 16:56:40 +0000 2014,@ohkayewhatever *takes a bow*
537288642851799040,Tue Nov 25 16:56:09 +0000 2014,There’s a “How To Get Away With Murder” joke in here somewhere but I just can’t put my gun on it.
537287532552388608,Tue Nov 25 16:51:44 +0000 2014,Bill Cosby Biographer Admits He Should’ve Included Sexual Abuse Allegations http://t.co/kx7HT6ZNHQ
537287208676638720,Tue Nov 25 16:50:27 +0000 2014,"RT @BuzzFeed: Here’s what @twitter looked like during the Ferguson grand jury decision
http://t.co/g2UgOrGS2z http://t.co/5KsiT9sZkG"
537286470474952704,Tue Nov 25 16:47:31 +0000 2014,"*Oprah voice* You get a BLOCK, you get a BLOCK, EVERYBODY GETS A BLOCK!"
537281821386739714,Tue Nov 25 16:29:03 +0000 2014,(I’ve been listening to “Ring Off” since 9:30 this morning. Time to switch back to “7/11” and twerk for justice.)
537280030628659200,Tue Nov 25 16:21:56 +0000 2014,"We who? RT @S3nt13ntB31ng: @theferocity That's the kind of ignorance that keeps you where you are. If we all stand together, it can end."
537279766358134784,Tue Nov 25 16:20:53 +0000 2014,(Laughter is all I have left.)
537279701421924352,Tue Nov 25 16:20:37 +0000 2014,"“Saeed, not all white peopl—“

*rolls sage blunt* 

*blows smoke in your face*"
537279370151604224,Tue Nov 25 16:19:18 +0000 2014,"White friend: I just think—

Me: Shh.

White friend: But— 

Me: SHHHHHHHH."
537279104358567936,Tue Nov 25 16:18:15 +0000 2014,If ever there was a day to have The Celie Finger ready… http://t.co/sKeHG5WlAB
537266776313430016,Tue Nov 25 15:29:16 +0000 2014,@byjoelanderson Joel...
537266377242214400,Tue Nov 25 15:27:40 +0000 2014,"*reaches into purse* 

*pulls out sage*

*pulls out Block Button* 

YOUR MOVE, TROLLS."
537265499357597696,Tue Nov 25 15:24:11 +0000 2014,"RT @MattBellassai: I only had to unfriend three people on Facebook since last night, and I’m just as surprised as you are."
537261966184943616,Tue Nov 25 15:10:09 +0000 2014,"ICYMI: Leading LGBT Activist, Obama Donor Accused Of Sex Crimes With Teenager http://t.co/Mii326B8Sr"
